idx,branch_name,merge,left,right,base,parent test,merge test
4,refs/heads/master,25bb2160a15392a731cbb074bdc49e6081747e01,948983e90cb4a7fc761087652bde786a127eb079,a7df2c5c488e2eb3325ec4d35ca43c9597dfae44,839c7c050238f5bfd04dc23ddd1f5e8d2f3799bb,Tests_passed,Tests_passed
6,refs/heads/master,b953dd65e0decdc3aa88c6b1d7c4b51c23c95dbf,633261b3ab27cc8aee593774e8284a4cf0b3dad5,96c1394b978439a3825b8d6fe0e5093c8c4a72e5,633261b3ab27cc8aee593774e8284a4cf0b3dad5,Tests_passed,Tests_passed
15,refs/heads/master,d1d3aa59e50447b135594902ef80877e5c852373,9889e8873c4ba5c34fc61d17594af935d2ca28a3,8b5e4f85a618832eab5464da1a727e4a21620a53,9889e8873c4ba5c34fc61d17594af935d2ca28a3,Tests_passed,Tests_passed
17,refs/heads/master,52467ba145fc56a5032447df66b52ddc0851b481,59fb608ac73606189cc0b4cb6474fd1384ed27f4,712c38e99d298064af499e1b34911a847d9001ab,59fb608ac73606189cc0b4cb6474fd1384ed27f4,Tests_passed,Tests_passed
16,refs/heads/master,4f1517d64170b819687d780922c8eebc1f6f76e9,52467ba145fc56a5032447df66b52ddc0851b481,1290fb3be13bff2013b2baf81be39faf4cd58134,52467ba145fc56a5032447df66b52ddc0851b481,Tests_passed,Tests_passed
19,refs/heads/master,1df104fe37e1022b0fdb213ceac915466924dc4e,ac5c29224f9fbe3367db16afe24ff55ec8ded139,0a880e2c4b669311eeba36dcc2ba0a8482d2a7c7,ac5c29224f9fbe3367db16afe24ff55ec8ded139,Tests_passed,Tests_passed
9,refs/heads/master,cc81d1626ae22ab96aecf625ebe2e0e4ef61c3e8,cb73f417d976a89c1b5066506a6ec368556845f6,999890cf6c363a1fbf7599f4b2d98dc9b90f1275,cb73f417d976a89c1b5066506a6ec368556845f6,Tests_passed,Tests_passed
0,refs/heads/master,c2163ce1e8d0c59d93e09e54482df867dca21f6b,2ccb4ce6d4075df4158dec870614e6533f41ca5d,fb33802a6147b5755ee9959d3cfa795b04627688,52ace4f3cfdb442793c5a0b0f4b58c8fa5397c69,Tests_passed,Tests_passed
5,refs/heads/master,948983e90cb4a7fc761087652bde786a127eb079,b953dd65e0decdc3aa88c6b1d7c4b51c23c95dbf,839c7c050238f5bfd04dc23ddd1f5e8d2f3799bb,b953dd65e0decdc3aa88c6b1d7c4b51c23c95dbf,Tests_passed,Tests_passed
1,refs/heads/master,2ccb4ce6d4075df4158dec870614e6533f41ca5d,52ace4f3cfdb442793c5a0b0f4b58c8fa5397c69,29f426c00d1abf42b02cb0912ee44234999f8f1f,52ace4f3cfdb442793c5a0b0f4b58c8fa5397c69,Tests_passed,Tests_passed
2,refs/heads/master,52ace4f3cfdb442793c5a0b0f4b58c8fa5397c69,1a86e4dfcb4c9a3337cd3f7942da94284cdde8ae,23e67a9ce83f2af6a6059bd972ad515ede9166ca,25bb2160a15392a731cbb074bdc49e6081747e01,Tests_passed,Tests_passed
3,refs/heads/master,1a86e4dfcb4c9a3337cd3f7942da94284cdde8ae,25bb2160a15392a731cbb074bdc49e6081747e01,31a21e8c34aed8c4440b5f0c578371bda200f197,25bb2160a15392a731cbb074bdc49e6081747e01,Tests_passed,Tests_passed
23,refs/heads/master,200616c9cf8d3c9b7fd3735d7cf456cfdc5ae841,bdb63d99d4757637380068d07709749cbbd7df7b,7dcda57097872678e631bbdc30d9fe511bf362bc,7d568042f0e80b3e53e22202a5e868c189f34848,Tests_passed,Tests_passed
18,refs/heads/master,160f7451b8efe363440f55a08ba05b0e85cf34be,7191d4b29d793b52298f48641b6d08b850239e95,e6cf2c5202242ab02623078bcc5d8d80be86e286,7191d4b29d793b52298f48641b6d08b850239e95,Tests_passed,Tests_passed
7,refs/heads/master,633261b3ab27cc8aee593774e8284a4cf0b3dad5,f3bf7d2b03dc703f74882f2f478e90e86db121a1,f8828b1bfedb3131f672830ec0f3c01e8101b902,4db99cf7a340c479daddfedbc24147340e62349b,Tests_passed,Tests_passed
14,refs/heads/master,ee807e0a05fc291337dc0b8d5753265f55fed104,9de45a0291792726c86b1d8b843fa6b2fc7fb4f7,d1d3aa59e50447b135594902ef80877e5c852373,ce1ca12b947755d1d96aab294d1ea15c78090ca2,Tests_passed,Tests_failed
