idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash
2,twitter/netty-http2,Java,1.0,2,1,0.22231,0.368421,0.0,1,5886,0.341296,41,1,0,1,1,e8df896db61045b118f3423196c41c11c162b1c0
7,elastic/elasticsearch-hdfs,Java,0.75,2,0,0.239378,0.758621,0.0,1,835,0.30916,38,1,0,1,1,a56b46f84ee2cd4f315695fcf39b9deac8f59333
10,vert-x3/vertx-dropwizard-metrics,Java,0.931034,1,0,0.283053,0.0,0.0,1,2813,0.356296,13,0,0,1,1,3744ba2214d90ac88d26fe51e8240769e370a6e3
12,EvidentSolutions/dalesbred,Java,0.845304,1,0,0.285136,18.103449,0.0,1,11822,0.430761,16,1,0,1,1,eb5dced5cd793efc7506b99214517efd0acb0a3f
16,GlenKPeterson/J-sicle,Java,1.0,1,0,0.290646,0.0,0.0,1,4819,0.346934,59,0,0,1,1,56bc36034e0a6f2b576064f6e4990cf0f8297104
20,objectify/objectify-insight,Java,0.934783,0,1,0.125866,0.0,0.0,0,2614,0.405368,15,0,0,1,1,fbe6952520ee37cddb5b9ea0ecfc5679f24f0101
22,junichi11/netbeans-color-codes-preview,Java,0.888889,1,0,0.34257,0.0,0.0,1,1923,0.317451,12,0,0,1,1,97a0262a3c15ab5842c43b68019e1e355ad7d3a8
23,mangstadt/ez-vcard,Java,1.0,1,0,0.433617,10.5,0.0,1,34146,0.448443,54,1,0,1,1,d4c9ab9fb11f4ed6d83c32bdaa2089a73043bd9b
28,tim-group/karg,Java,1.0,1,0,0.005914,0.0,0.0,1,4034,0.397975,11,0,0,1,1,78f2862dc46fabf73af6e626cd47016cb6ab3a37
29,GlenKPeterson/J-cicle,Java,1.0,1,0,0.29068,0.0,0.0,1,5027,0.361698,59,0,0,1,1,56bc36034e0a6f2b576064f6e4990cf0f8297104
32,fizzed/rocker,Java,0.986486,1,0,0.247444,0.0,0.0,1,6741,0.256883,27,0,0,1,0,d749fbf68179b31a64d541f5e18e0e25bc5c2d1b
40,npryce/make-it-easy,Java,0.969697,2,1,0.131402,0.0,0.0,1,1510,0.38,69,1,0,1,1,d44d000afcac3984be50c7c2fb9287ea5d8ebdbe
42,Ekryd/sortpom,Java,1.0,0,1,0.056057,0.0,0.0,0,18304,0.519176,28,0,0,1,1,a168607a4de3d053637b4303657c02719cd5c3d2
45,JavadocMD/simplelatlng,Java,0.947368,1,0,0.308875,0.0,0.0,1,2192,0.533884,20,0,0,1,1,84351103de1f54439e4e8267ca0c16d2c8f32d29
47,wnbittle/dyn4j,Java,0.958237,1,0,0.233708,2.278689,0.016393,1,149152,0.366405,39,1,0,1,1,ee912bf03f8c7ce70ac594b1356c51755834a61a
50,raydac/java-binary-block-parser,Java,0.967213,1,0,0.270254,20.0,0.25,1,16863,0.582367,21,1,1,1,1,65b0f55ea38a4ffeeadc07686a938bc51781b0db
65,mrwilson/java-dirty,Java,1.0,1,1,0.0,0.0,0.0,0,595,0.47139,99,0,0,0,0,d34addd56fde159107fc8f8b6f4dba73f440f082
69,vbauer/caesar,Java,0.833333,1,1,0.122024,51.0,0.0,1,1628,0.588339,109,1,0,1,1,bc5f07c0d3fd5e40167ab72b36206b218555f734
73,google/google-auth-library-java,Java,1.0,1,0,0.156356,10.0,12.0,1,1993,0.449568,38,1,1,1,1,104e2b3dbf7596518750f884f4493a50f83b3a6b
76,reactive-streams/reactive-streams-jvm,Java,0.952381,2,1,0.159982,21.142857,5.285714,1,6549,0.732682,1026,1,1,1,1,a625d3aba756e9842ad1291a5b73f5db280b6168
78,vbauer/houdini,Java,0.958333,1,1,0.095321,43.0,0.0,1,1199,0.342029,28,1,0,1,1,52ff62bf58f1f10ef39fde0fd9754c305e6ebbb1
79,spotify/futures-extra,Java,1.0,4,1,0.229638,3.722222,0.5,1,1480,0.598122,19,1,1,1,1,d906f23eb96efce779ce2ebe958cdd2ca17c0746
80,scottganyo/gcm-server,Java,1.0,0,0,0.268281,0.0,0.0,1,1511,0.52028,13,0,0,1,1,b44aa53b05e61f950a76586baf14cc59479dda3c
81,hcadavid/spring4-rest-oauth2,Java,0.4,0,0,0.152125,0.0,0.0,1,379,0.772358,16,0,0,1,0,6002ed30ea766a952a9f029d3b81b1b1cb4492fc
83,sebastiangraf/perfidix,Java,0.818182,1,1,0.490404,1.615385,0.0,1,6406,0.353369,15,0,0,1,1,f13aa793b6a3055215ed4edbb946c1bb5d564886
84,OAuth-Apis/apis,Java,0.974138,5,0,0.177262,5.263158,0.368421,1,37103,0.257188,391,1,1,1,1,ec57f6e56f9cd7b497c64820259be83c39dabdb8
85,eseifert/gral,Java,0.86859,2,0,0.39931,12.123077,2.415385,1,23042,0.326873,18,1,1,1,1,460ceb2be7b563ee4235b60db9dae4939a8ad46d
86,spring-projects/spring-restdocs,Java,0.905405,1,0,0.278349,13.6,7.8,1,4631,0.466308,339,1,1,1,1,f7605a479c08d1d3f2439133c4c70f0e3ba77a0e
88,enonic/xp,Java,0.992782,5,0,0.067102,451.0,133.0,1,263754,0.254581,95,1,1,1,1,c9ce3533566ece90f04027bd729b82d7872014ce
92,GoogleCloudPlatform/gcloud-java,Java,0.982143,1,1,0.219098,63.5,10.0,1,8916,0.279661,64,1,1,1,1,54262fd530705e063bc2a0b85f9e6c6d8e5d74e7
96,lambdista/try,Java,1.0,2,0,0.280769,5.888889,0.111111,1,963,0.466368,39,1,1,1,1,8d6be7795bfdc56431ba6c2c1d5de8da82acc73a
