idx,repo-idx,merge-idx,branch_name,merge,left,right,notes,two merge tools differ,left_tree_fingerprint,right_tree_fingerprint,gitmerge_ort,gitmerge_ort_run_time,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_run_time,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_run_time,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_run_time,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_run_time,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_run_time,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_run_time,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_run_time,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_run_time,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_run_time,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_run_time,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_run_time,git_hires_merge_merge_fingerprint,spork,spork_run_time,spork_merge_fingerprint,intellimerge,intellimerge_run_time,intellimerge_merge_fingerprint,parents pass,left test result,right test result,repository
0,2,1,refs/heads/master,e8df896db61045b118f3423196c41c11c162b1c0,739e08e19ec310afaac9f7b4a76c3958ae262d1f,4d0dea639d50f212acfe130be610a41d79bf7d0d,a parent is the base,True,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0241107940673828,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0268588066101074,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0241665840148925,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0249197483062744,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0245556831359863,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0252418518066406,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0256552696228027,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0286998748779296,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0268647670745849,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0237147808074951,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0251550674438476,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0180573463439941,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.0504696369171142,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,Tests_passed,0.4135792255401611,4a3858d4797d1ca7ee6a5078b4dac1c626592353faf9a7e85c941c889547ae36,True,Tests_passed,Tests_passed,twitter/netty-http2
1,2,2,refs/heads/master,739e08e19ec310afaac9f7b4a76c3958ae262d1f,1e1686ea8e77c86bdebc8e31ddff6528cd0ceaac,03e25d0c708cc60a8b327f136880b433e37c8fc1,a parent is the base,True,039286bd3dd5e2dd26773b3790f62c4f8779b48f954135a917f7a53e6296b0c0,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0285584926605224,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0254263877868652,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0245075225830078,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0294704437255859,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0267176628112792,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0237853527069091,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0255358219146728,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0273513793945312,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0302066802978515,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0251789093017578,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0298051834106445,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0207469463348388,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.0515251159667968,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,Tests_passed,0.4416301250457763,8b98b32ec5c4809ecd0ca2bd86902844452c406dd6d8b1cce16ca48ff67c5003,True,Tests_passed,Tests_passed,twitter/netty-http2
2,2,3,refs/heads/master,79b81ee3e74265ed139a055376f32549de51da9d,30532ff923999c31fb645c7f55d89d7d87a8e1d2,b373cdb0046a8b193d1c8b4b6486f851a731d7e7,a parent is the base,True,3b187b5ce56f8d470cc9d5ed38ece95e65e1469bd5441171a9a6d2febf8acce9,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0258853435516357,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.024843692779541,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0252814292907714,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0257685184478759,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.023818016052246,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0238940715789794,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0254278182983398,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0299694538116455,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0265300273895263,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0257010459899902,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0298616886138916,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0186312198638916,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.0570607185363769,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,Tests_passed,0.4215450286865234,f5ca2e840f9cf314ff92b699252471b74aa625807e1692db4621360e9b73ccb8,True,Tests_passed,Tests_passed,twitter/netty-http2
3,2,4,refs/heads/master,6a76dd5be2e2c94e0ec29a2718cdf046b9d2d35b,94e628fbc97d356e169f5619c19161dcc4a3047e,d6026674cc4d84b1a04e6c3c37eae232967dfa3b,a parent is the base,True,c9879245ad466885b757707c9b714a4153d928099128d5bba167968a400703cb,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0299112796783447,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0281686782836914,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0279574394226074,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0268833637237548,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0274748802185058,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0254409313201904,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0264806747436523,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.033273696899414,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.031599998474121,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0265769958496093,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0297582149505615,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0265564918518066,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.0534670352935791,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,Tests_passed,0.4969058036804199,e0a3512183cdfe3cb8f8f6bed8048adc3f7114b0c0bd1910b32bac37860ebba2,True,Tests_passed,Tests_passed,twitter/netty-http2
4,2,6,refs/heads/master,4f19a28a26b512460178b95a14ff3dfbb592aeee,e87f931446d57da44697353976a1fd4ec8632e93,8328ee60a40e62a160df5ac912e5ffa3da38f29b,a parent is the base,True,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0236098766326904,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0241274833679199,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0241692066192626,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0240201950073242,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0279502868652343,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0241024494171142,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0244324207305908,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0247204303741455,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0294010639190673,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0246624946594238,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0239689350128173,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0195820331573486,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.0469295978546142,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,Tests_passed,0.4184496402740478,9789ef83fff0192ce9e8bec3758ca96f8b3a11618515d2a533a14751aacd96ae,True,Tests_passed,Tests_passed,twitter/netty-http2
5,2,7,refs/heads/master,e87f931446d57da44697353976a1fd4ec8632e93,f3a720328d1f19446716090e098a8a4f2134d768,2a1c3824b3743632c1a84cd0d6255fed63044d4d,a parent is the base,True,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0283484458923339,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0279290676116943,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.02447509765625,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0259642601013183,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0313687324523925,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0258266925811767,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0250520706176757,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0240299701690673,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0228357315063476,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0256290435791015,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.027496337890625,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.0255506038665771,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.043971300125122,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,Tests_passed,0.4393539428710937,f10fa07e7a2803aa5426dc9bc95ffcc2407722c8e5fb6ce8691a4ef358fa227d,True,Tests_passed,Tests_passed,twitter/netty-http2
6,2,8,refs/heads/master,f3a720328d1f19446716090e098a8a4f2134d768,983e7c3fbeed59af9dc832380aef53f92b952df2,11457b0a168bf7a556ef7c899cdd3af5ae6bf38c,a parent is the base,True,4abb20bd55c3da06a486f367cca6d79cd1b50a1ac4b5b53b22fe8f3a904e3b61,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0288140773773193,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0300886631011962,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0259013175964355,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0281894207000732,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0344455242156982,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0273957252502441,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0268797874450683,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0294497013092041,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0319962501525878,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0295732021331787,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0276477336883544,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0228245258331298,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.0497224330902099,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,Tests_passed,0.4754836559295654,296aab3dd4e19443656fa4feef699a91b1ab994e25c86bf9dc33ffe2451acea8,True,Tests_passed,Tests_passed,twitter/netty-http2
7,7,1,refs/heads/master,983bbc8189888441fde7d3c33a79eaeac830a328,8436c77749961c71142d7b576f07372d686ad75b,0c0266a90c7a44011387050ba0fa69ea65af0ca6,a parent is the base,True,f89d2891a8f973601da0b89496e090ede7614d68571f27dc30ea591506a1607b,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0257964134216308,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0253450870513916,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0243372917175292,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0257937908172607,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.024587869644165,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0247905254364013,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.024958848953247,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0245611667633056,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.023710012435913,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0251193046569824,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0239312648773193,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.020601749420166,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.0533263683319091,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,Tests_passed,0.4322216510772705,2afffaadcdf3f851cd4fcf1a5a97d66c6b6d4ca41aacbf8b9eed7fce37e80cea,True,Tests_passed,Tests_passed,elastic/elasticsearch-hdfs
8,7,2,refs/heads/master,f006f58797142939ed308fc6969be6ef0e12c04e,93c3e8fb2a55648da5c13897ad8b28fa30a132de,1fc214a2db239298837f379e4a4e7561b65d9562,a parent is the base,True,b83a2fc5385a2b07fb081eacacf931239615504c0af2fe2198a7f79279c1c83e,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0245523452758789,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0251460075378417,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0255024433135986,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0249218940734863,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.025904893875122,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0268559455871582,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0257763862609863,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0246176719665527,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0257377624511718,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.024789810180664,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0265130996704101,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.019197940826416,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.0488150119781494,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,Tests_passed,0.4226176738739013,17f79fddcb3db3ac095d73bf3d9a79c8c1f48ec34871375434b42a5823624b1f,True,Tests_passed,Tests_passed,elastic/elasticsearch-hdfs
9,16,2,refs/heads/main,9b2e65f893f86f9034bae512da966f2e0fc0b7a5,da3813d1823fdd7e02667fc89044555266c9a746,e4304d574207cb2da1afbba293ebbe9075edd04e,a parent is the base,True,f3d2ed619e03e863832c1500b855706ec4829d1aa8a2a6000c6a31e4f4460e68,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0266864299774169,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0261352062225341,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0259895324707031,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.024759292602539,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0264053344726562,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.026172399520874,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0247316360473632,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.024930715560913,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0258009433746337,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0260169506072998,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0258429050445556,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0206546783447265,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.0511689186096191,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,Tests_passed,0.466672420501709,08f3ed15afe1c6a8eb59738aeca78550b04eb1ada9aaedbe6be7016d4ff5abcb,True,Tests_passed,Tests_passed,GlenKPeterson/J-sicle
