idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/master,33fe2fab653c8a87583b20dc71c3a24c5c9d850b,3e52d036a9e3f2677820224cf4280f5afca012a3,583151ed602794b21dc7935376d6acd2911b2171,,False,8,,,,,,,,False,False
2,refs/heads/master,4a2296e06a70fcdc40e85c8809cffe92a04059bc,0b1bee58468a63d84c35711cd4307486b00851d2,19b87687e81028b4e7fbf391836b047267d802bf,,True,273,0.0,Tests_failed,4ae05a6440aa7ead1fc922d47887a2079a37ec4c3403138f331b4306b023f1ab,False,0.0,Tests_passed,7ef96bb033f8410844d7681b9f2fd3804e2464406009db98833b7b4207e37608,False,False
3,refs/heads/master,d6a76611fad62dfd3080e5a72ed0cd4be77a1d4a,c215d805de0f38964a8a65bd3223e073d1c1c436,8ab1b22db4206a731e02c7ba19f52d634545b702,,True,120,0.0,Tests_failed,7f53f47236085481a8225ea546324cff8f46aadc4e4109188fa434b2f50205ec,False,0.0,Tests_failed,be7287ee9fa8ced6bd06ca04fdf72e885f6084bd31f2859a590cc5e21708b4ab,False,False
5,refs/heads/master,6ad6e7ebbc3e7fd9fb4b8b8617231b3cd15c6bbf,486785831c69c0a0f9dacae2c74ed4b4201275cc,3fda3cad9aa0a43096892f7286dea23656efb73b,,False,2,,,,,,,,False,False
6,refs/heads/master,f9327f7b2ae834a71235784f4d8f4d6e19ca3615,51e80f792cef263dd98aab2b03c6159bef6043f1,156d96c1d29c9f2abc26fba2fe3583dac1df04f5,,False,131,,,,,,,,False,False
7,refs/heads/master,3e75e235752f53dbe22c8eb2a4dd85b85df45f09,944782786f7383005d68ddd9e0be9faad1c1a19d,7dc3f3b7662076a7441de6f37b301ddfb6a3ebc0,,False,60,,,,,,,,False,False
8,refs/heads/master,944782786f7383005d68ddd9e0be9faad1c1a19d,1c3985b23eff1811cddce0e622456979ec733d4c,535d9216598f60c55985e95abf44fa278d09352b,,False,87,,,,,,,,False,False
9,refs/heads/master,25564ca67c5f47f41e110ffc8878c6c4ac0f35c8,59ab7cf8bacdc1cb8a1468a0f8a9b57155af50bf,73b1111a5ac2a0814a93f14e26413ca10e64733a,,False,128,,,,,,,,False,False
10,refs/heads/master,7b98e5b86256b390829b94e126cafe543466f340,b45597d4bff76fd5e591787c65848ac58afb7937,73b1111a5ac2a0814a93f14e26413ca10e64733a,,False,70,,,,,,,,False,False
11,refs/heads/master,9d703ca6a8b01b3e9c775d5173eb2004e4b84393,de695abb6e35717fd4c3ef2081de058134ec3b82,7c722748cf54c6e074e4d5798e00e8f7b5941771,,False,36,,,,,,,,False,False
12,refs/heads/master,32d65b85d9825aa01d189a7801b2381cb83404f2,0686f7fba654c9f0a9c63b634274ef70148b5e5e,cb74aed3b37f595cf5a22cb94b48aba396c7c695,,False,76,,,,,,,,False,False
13,refs/heads/master,0686f7fba654c9f0a9c63b634274ef70148b5e5e,197b1ab7263a4301126240ae31256e3964595415,f1e6d71c91cd8bba01f0367978ee634269d00bc7,,False,84,,,,,,,,False,False
14,refs/heads/master,f1e6d71c91cd8bba01f0367978ee634269d00bc7,e11f887bad15ac3611ec9b09b586459ade86c73c,57f32eaf3a1c3a2e28c97c6872f8f51eef2908ba,,False,235,,,,,,,,False,False
15,refs/heads/master,9e28a633dc99ef5f74b03b818afe760b12f1d71d,ddba08bfe5149ddbf70293a576f12637fbdfe7b6,57d11ed0c9d0ec7e67e4a7d440f3c393360d52cc,,False,201,,,,,,,,False,False
16,refs/heads/master,181f6896dd76959f284fc9a5a6099e099062d2e6,93cc27a97b8f47cd32eddc3888c286eb71c51fd2,57d11ed0c9d0ec7e67e4a7d440f3c393360d52cc,,False,218,,,,,,,,False,False
18,refs/heads/master,a4f56e6dae4ab7936d09e9e5213867d00f7e7891,4b117325db48e1aa0ae50134ce8a6731cb5e98e2,8f0ce7414b97716970a277d3eede13875c9533f1,,True,164,0.0,Tests_failed,d279357dd50686a949a5e0bf98e93405bb272348398c9b505d445136de82c313,False,0.0,Tests_passed,51e32beb8452b6fc44a867aeba54eb8847a66cf131f31c8a47cdc2b51dfdeef7,False,False
19,refs/heads/master,58bc02af2c29d8ccfb1ea8af19d7afe8ea57157a,7d50e38fe3936e3a5bdd0f6c913970974d65be9d,c9aeaf95710bc519d5d08f104b121b5e1d314863,,False,54,,,,,,,,False,False
20,refs/heads/master,7d50e38fe3936e3a5bdd0f6c913970974d65be9d,a76e825fabbd521b2e2392383dfcfe880c2eea84,a7792515f49be7b4329d2f88ed48e18daeb8a523,,False,69,,,,,,,,False,False
21,refs/heads/master,408d59b96fec3427708220431433415f05d2984b,fbcdc3002c0d25a13c7172ac4494a05b0ab547e1,bebcb7ddf66fbcdaf7438c1bdf8bb98f3b07f606,,False,75,,,,,,,,False,False
22,refs/heads/master,30eb7447ba31ed3b7e9ad708099e35be149dd783,3d7b1b614dc098977d08e77b8422cb5d4f3d12bf,d6be0b91899eed5183fdde59544a4544cbbb34af,,False,2,,,,,,,,False,False
23,refs/heads/master,bebcb7ddf66fbcdaf7438c1bdf8bb98f3b07f606,a2147469c75b06fc97824b784e3114e460cdc49d,488eb766aea0ba41d36ddd17552a22d3417e97cb,,False,34,,,,,,,,False,False
24,refs/heads/master,84344bcbf002b6d695a1c22d233ba2d83398f70f,84215f6ce238377ddafc4d59116a8e5ec498a4fa,b540e065cbdb9e70feb8c01c7caee7ead0718bf7,,False,2958,,,,,,,,False,False
27,refs/remotes/origin/pull/37,6842faec7d39af284f75c9c9d5de84bfe64b4163,d696098bf004b3d89b26372772b8e998bd6ce8ef,bbc88e5a55c51e018949e3280809bcadfaf44e6c,,False,4,,,,,,,,False,False
