idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,sampled for testing
4,refs/heads/master,c3b2260a6048f79fcd24dc0f4c7bd1328afceb90,04640c281b9a910e95b8595f75d5eef1db10d80f,b78e00d30cb253acb29afede3b7bc3df9816a569,,False,True,c9c90e7b8a5e3ce7daf0e88778861d260c9b73e674f5e8653ad91b886d843a44,Tests_failed,0.0,a9074886a83918587a2f9ccd0d0d8b7837b9a05f84b3bf67e85a0449f637367f,Tests_failed,0.0,False,False
6,refs/heads/master,fc5fc0151284bc27a4305df3a423537a77e4633d,ec381749574f3d0f81f88b78bb5aa00dc73fe42d,63356e47e2423ad59907bfc06ada14b16a386205,,False,True,21bea19e1dfd96e8871ca99a5c3ffe344cbe2867ae19c36c5b7156c19c23305c,Tests_failed,0.0,81b3f57677751f766410277e60e08dea944f604133a8f2dd535f4c467b5df071,Tests_failed,0.0,False,False
11,refs/heads/master,a4cf658d70d4a413f82071b687f18dd8b981c851,dc32b787c64d322b76f538da4c515efbd96c9c8f,e8488ade2c7d15f0285f66bb9b34c8fcc332f382,,False,True,64d980cf41290354c99a5938973ecf054edbdae8241591b739d21957c3910224,Tests_failed,0.0,b706a47dc71dc848a584848d5a58983dadf6db6dacf04a65638a5b860d24c121,Tests_failed,0.0,False,False
13,refs/heads/master,032f2def78d5ab334b6090c77ce35ccf0ae1cea5,4ad9fa061d762311527a452abd7321d5cf60df42,26631200ea145627552b39ba798437e8b1eecaf8,,False,True,e7666748b6c0e98f8cec80eb289b3c63b9da56a59bf98b5543d666412fedd153,Tests_failed,0.0,77c4a72bbf510e0926866c42ebdd7d27f6354668e500191716f641d65d3a9143,Tests_failed,0.0,False,False
27,refs/heads/master,2439c849549b08a1e7ffee8f09eae886c9fe88f6,33ed6609c53d34712de1444f1f85d552d5e45f96,d4590cc5bb564232a1d09a0cc3adf55b8b0b077f,,False,True,9b4cff61d237de92cae2eefd6240d5e8cfaa7f23de16534c06fbf5f8cc5f7caf,Tests_timedout,0.0,4116def865816be66224e33c01a270221222516d192e7b4874da26f7a2245978,Tests_timedout,0.0,False,False
30,refs/heads/master,16fcc0fa4e1784dfc26ed2bf5ea6566fce877e76,be03520f56f8b86bc4b9826c4a30d1d0f64ca1fb,7086da840c404fe75d8d9b7e31634ec4c1df8a71,,False,True,2e35c83d393233057b4be4754c1b1942a09a2d3908252d93d47deff372086d5c,Tests_failed,0.0,a8e289723975a1c871f93094c5f75ce8de7623db2761584d750abf473e79b106,Tests_failed,0.0,False,False
46,refs/heads/master,5cfae873e3dff53818416a7c8385add56b34326a,16717782a0e686821a83323eaa48f3f6c2b40179,00d6ce29fdc258de7f92bc54b15a237955008365,,False,False,,,,,,,,False
50,refs/heads/master,3239f4ba369288670a3f7db71cd6eff2ae3c0dfe,b62ce3b0fc2092adcc5cbc6942d86ac7f718d383,477cfec40791ef8cb17bfdd187024a7997f24b44,,False,False,,,,,,,,False
52,refs/heads/master,e50ec395c0764f5fbd4f8d6cc8c16557fd0d2745,1840fe624895faea83a0ceaf3c7826dbb2251517,4965cd44dc84d0402e8acd6114a7d48b09cbd0fa,,False,True,6b2ea21de86720453b0259c7f99a73c07619b82725cea956639880f8362034e6,Tests_timedout,0.0,7834c3af16a61cd6142299ef58a6114c93d046031cc7132137623a3853bb69df,Tests_timedout,0.0,False,False
54,refs/heads/master,e93ebe2eac269b6015b26dc94f35a92490566a42,7d9aa5dd008291ae91f702e3ac2f871331bc16df,68a4fa43f179e8e74a11085f045bbc06ab34949a,,False,True,4b5eb673eba1a626d3af0686781c9896042647f72e23bd896a5be0b2850581d2,Tests_failed,0.0,0fc0cfaa9990847dc9414ea4f28e58ed9167c83b04bf6d41018e2fe2939db9ed,Tests_failed,0.0,False,False
55,refs/heads/master,7d9aa5dd008291ae91f702e3ac2f871331bc16df,1f660e4d5e52e0467266800c1da0c8571a56265c,45cc6c6f067bd842ca7a86807f118bdc7c5d4010,,False,True,67e7f9167f60b4fa1d8447efcc922900bde30174933a19edc2dce19fc0c53f84,Tests_failed,0.0,e9511e928e548ef961547011ea68a846137e5e27da0d4eae9a596bbd7243fb80,Tests_failed,0.0,False,False
56,refs/heads/master,1f660e4d5e52e0467266800c1da0c8571a56265c,2e9a98991b45f663d8a3480f8a39bf2be2935d4d,8107aea837adb7320b24d59a74596ca9e3fc5bce,,False,True,b6fb8414c6467db27072c4a1fcabb7fc16e0417669c10fbacbdec02254782475,Tests_failed,0.0,c5e085bc880e2c9c5e2a422fa3d5a9fa61a4f6295a1d4584c84e6968ce59162c,Tests_failed,0.0,False,False
