idx,branch_name,merge_commit,parent_1,parent_2,notes
4,refs/heads/master,758f651f533ac933033146b81dd956ed285d6d0c,78af9baed08095ef960037f1fd41a2bd3f87809f,a5c49ecd988e6a91a8be8312a5c0a47ed8ff5441,
7,refs/heads/master,f3632195664adf214233b82aa50ddc21019e8f6a,bd64b2eb646233574a7767ca66f32839c3e0827f,e71b1dd162de0b448a52fdffb7832c00da96604a,
10,refs/heads/master,c7e0600209579afe32aac1956e47b038cca494c4,30ea78b99759971c2fb6495c6e278650c9114ae7,6607834a9e606e5c1e1d9b74095fb65d2011408a,
12,refs/heads/master,2f46db86f9bf9d8182f88daf693833f6720599a3,08bf2d71c8efd3e6c657f5c782dcf7fc9cabf1b5,142c71bb78afda297a5e4155086066ca4a3a8d7d,
13,refs/heads/master,4eabc1321a2519b79460c74671aca1c7c6c78373,ef646859cc51413da76a5eca968f010603423f42,8092b43536e7a2660a6bd262eaca8986c5aa2987,
14,refs/heads/master,8092b43536e7a2660a6bd262eaca8986c5aa2987,d1c21ffb83fbf4f06930d38a9d4ee309afac9433,499b603de3da610f4d9607a4748ce003bdcc9fd0,
15,refs/heads/master,8dd9ffd91532a275627e64832782c80df6496855,01c419bfdd343145f352d9a988b0afe37d0b5658,47114715c64882be4651c536710eb2adca6acfcf,
16,refs/heads/master,3dfc9d59a9b49ae6f01526d47b8899bf93c64b5c,82543d92aaab38c03644e42f0414e0d8cd650cbd,fc6a6d9a8fc7c7bd065131bcafa38fd1cc4ac4b5,
17,refs/heads/master,46ad120972d66cd4f8c53dfb2a19f340f9d48c48,4774650d95e75a5df9834311b2f189767d539a83,c0429156c3d4d27829b910c6fd2fc0df9ab2952d,
18,refs/heads/master,c0429156c3d4d27829b910c6fd2fc0df9ab2952d,99ffb5e63f7b700e61364c0d44c939a40c801e58,2cad94818bb14781c35b173ea4203568782234c4,
19,refs/heads/master,404948ec1e363bd76cf263fdd8c186eac3169058,45e1f9679f09ce60d22df614e884e90a915b6f98,79a7d9b01b3197fe87829b0a425a992023f6005b,
