idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/dev,8ba9e9e703d134eed87f3972c3b04f94f271ab85,cf2fe74a35c0d7cc6cce24165bb9be47068b6bcb,390eedc9b395c940582ef67388515b6a5608f124,a parent is the base
2,refs/heads/dev,cf2fe74a35c0d7cc6cce24165bb9be47068b6bcb,8b7c836262fa65d55321d02d6ba6f3a3abd64013,26e4313365cdd8794de06e101871e8596f5a6078,
3,refs/heads/dev,8b7c836262fa65d55321d02d6ba6f3a3abd64013,72dd774534adefa97c62289747b536ca12e6641c,7cbbf05129c1fc3f444845848fe02b90bf5a2010,a parent is the base
4,refs/heads/dev,72dd774534adefa97c62289747b536ca12e6641c,12af7ed3fe53f2442f0f49b71c98a08ce125e846,75610d770616db8d16bf646e8a141700860e1097,
5,refs/heads/dev,12af7ed3fe53f2442f0f49b71c98a08ce125e846,c3ddaeba725b2c7476ef21cacb1f3aa84da07e1a,27168dd5ca25f8c57d13bf98f0a29f428e7eedd1,a parent is the base
6,refs/heads/dev,c3ddaeba725b2c7476ef21cacb1f3aa84da07e1a,b35a4b30c4501df50466cf85b87acbd53a6228d3,00d8d4c32ef1e99e88ea59c6d2c9ecba1cba69cb,a parent is the base
7,refs/heads/dev,b35a4b30c4501df50466cf85b87acbd53a6228d3,7cf9e83bf79ff7feeea2e273ac14163ff05b2ad0,0273809b849d764740431f97d0c058d8f143d9ba,a parent is the base
8,refs/heads/dev,1dff832576d3212ee3a5dbd361132e62e1d94245,6993bd4a0c44e4e3b407f90aa7f650d4c7e7b9c0,a7667831b6a24fe296ab6a85b61e2ad3af3b760e,a parent is the base
9,refs/heads/dev,e19309341ba25c9adc251ac4d31bad12467bead0,c0a85723cb910c70c21008aab8ca45f6e70f8490,6993bd4a0c44e4e3b407f90aa7f650d4c7e7b9c0,
10,refs/heads/dev,6993bd4a0c44e4e3b407f90aa7f650d4c7e7b9c0,b6a863c9216cb8cc7a395a59939517269d988799,704224fc5b7b6c4640534d4e7021440a14d25831,a parent is the base
11,refs/heads/dev,b6a863c9216cb8cc7a395a59939517269d988799,a0b22fb07ab3f790edd06c0d4a75eb1ffbdfbaac,b0f370ccacb55a9357f9245ab67e62e4ab6abcc6,a parent is the base
12,refs/heads/dev,0643626c6ab7ab4315df903e1601b5f77a17c612,be7351e7fc3bc524f64db34e78c2cb7d6f142596,336512da93b7f24e8fb55afabe48dbf7f39bdd9f,a parent is the base
