idx,branch_name,merge_commit,parent_1,parent_2,notes
2,refs/heads/develop,d211ee21bf6512c49fc630d0e20eaf4805b8cfaf,3c5592cd2b1b5b21d5c0e229ad84912b1766ddd6,e7e265de40e4f361184cb9969f0565b080054b05,
3,refs/heads/develop,3c5592cd2b1b5b21d5c0e229ad84912b1766ddd6,b17c99fd48e03b7295d40e37f012a303b909e0e2,cd84b60d8385e8e9eb86ce1f3d77ec27f9903b5b,
4,refs/heads/develop,e3b86179b3fd149c8a2dc2f3da549b1a1e0c417c,7f09c7e6b0b8a54494f12bd0fe491a72b5ab99cf,50bf2e20481dec70162b29f13cf9fa5880dd229b,
7,refs/heads/develop,cd60df0362fe73b38cb1ce49c2278f89b29e316e,58e291cc5af51a78b73fffb4c34a6c8c9e13b180,a192b1b4a336b0e8bee81989589f834e555cd643,
11,refs/heads/develop,cf3917c8b163b40e711a9e4fb2b603afa1ce895a,0dc42f08ac8011449cdd6e459ff13920b4e05d2c,7f0e9a4245b30624120e0bb30a0bcd7955815616,
12,refs/heads/develop,9a3e6f69d1ee3f89a74e920c5fc99f7a49383d31,c09a511a5ff6770a641259709e4871cebcd7be7b,706a54456876f50fdc0fb99c06b428f47d09b304,
14,refs/heads/develop,67f6ebc1eafb512e586ddeee0cedf6ac5cdd3017,476793db1ab916721d5df06cddb22537eb5f1a8a,5b040ff36845c035bedd3af38215403ce2572de7,
17,refs/heads/develop,9dab769bfdd326583ef6a47b6970a4f0516b7cca,654162e6912a1003682f3f4841d7e6184ee6ef52,823922fff8225c6e4bad203521d8855ad95386a6,
18,refs/heads/develop,996590266b54128b16564220fdebd36f325eacaa,c30915d43d85c0a4b26c18d76090d346a67d5f39,2d7413591f68cb540f80bee389cb9fd47d90c010,
20,refs/heads/develop,fd2b1fe98fd9925eada0554323dc5ae875104a38,8d3e7b8ec2869f9f671337c6a73570f2188c675e,5621e1007843cd901dcdc94c30f5357694d982fd,
22,refs/heads/develop,bfb36a507d2e8e1f9566f810f09bb22d6c6c7b01,7c438cb49472a4d9dc9ac1a6169c0ad459b08c61,2e4e1bc164b4f7550d1f13131d601469b611753b,
24,refs/heads/develop,c52f1d453216cc7209e6cc9fa6f7a955e1eadad0,3e6085e02fedacfc1093c44c6c8d325c5221d1c7,e0f2ea38641dec9e856fea828f2b170b31f2f42a,
25,refs/heads/develop,299dd5c95910b2ae13b7403d050c28453775dd05,dc551512ac2369e4a7fc888ab80f4a4b0415891f,c52f1d453216cc7209e6cc9fa6f7a955e1eadad0,
27,refs/heads/develop,93c7adc9b131682ead437c867f95a1fc354d3333,eccecd447573468cb83867a7c5406809de2693e5,24a5c26a6f40b32f5cf20211fb1d455e3b4653b1,
29,refs/heads/develop,3e6085e02fedacfc1093c44c6c8d325c5221d1c7,a5a8f810e7ca392d22cc2b3bec67babf56ca89da,03246799c80edb1c6d85a9fc3b98f0ac91517ce1,
32,refs/heads/develop,a5a8f810e7ca392d22cc2b3bec67babf56ca89da,0554b17bc9e3186e0d03af1832708f3ffa4b5a01,b70f782a17885651046fd9abab599af8fdf7c342,
36,refs/remotes/origin/pull/15,3745c464a47721706f5d344d3cda60fbb5e5f233,1cb4a4fe6792040eb508cab9da700e55eff81963,cf3917c8b163b40e711a9e4fb2b603afa1ce895a,
37,refs/remotes/origin/pull/32,d84b918a062de63c0fa55ca31f014ebf8a119265,9e94c2b2c208f415e00698c58af05a67eeadc8ad,291f094c88fcd20f7a2830c5c6f23b798040b4a9,
