idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
5,refs/heads/master,f87be2fc03e549ae06e1a30c626ff3a82eaaf3cb,466846d268314062db79adcc094f967cb630028a,61b6be409053fb141dcef257192dd4d90f14f85b,,False,,,9.0,False,,,,,,False
9,refs/heads/master,d9505c4d876392887f767838cbf4fe3d184d5d0d,42491f5778627de57c9a36cea88be4ce63f4379a,9c897c9fb2e8aaf6c32f3953a17af39061e33857,,False,,,29.0,False,,,,,,False
14,refs/heads/master,5e08c81d1275d84aabd1eeb0c9a165a2d3a1e165,84626e1ef2d67fdd8c6ed569fd017c1553fa53cb,24eaff61f29e49224ccfce05ffaeb8eb732e1d9a,,False,,,59.0,False,,,,,,False
15,refs/heads/master,bd33369a411d71f69689b4b8d0717eb6dec43d43,55741c63327b535affc2be4d11936359dba59902,4f625d8ed5cd7c38e283e31a4380eb803bcacfb3,,False,,,249.0,False,,,,,,False
23,refs/heads/master,f5339db6466af3764330768f79048c27ef007615,c573e70e8b3ccc50f788edd46e27ebfe61e4b741,16b3049839e40e4ba788b8f54c4f66c0dc94c777,,False,,,4.0,False,,,,,,False
35,refs/heads/master,cf617f0a640c1b377c21e836489fed2f7d8c6448,eeeaffd88361e409864eb69a0010d5a990afe420,d178302d34cdd138e70400d99ec607ee133553d0,,False,,,20.0,False,,,,,,False
45,refs/heads/master,ba2f6c0f6642f076f197a894ed69ddcfad539932,83f26cde53e2c9899daf6f6c1eea3a7025b1cb5c,268869345c4f7866dd169aef0b235d2c1e02742f,,False,,,355.0,False,,,,,,False
61,refs/heads/master,69d049a69ad677b298823c57ffe142cc2eea0949,7d75153362498c57deb6056cb09afdda257f3143,a144fb2e48439107d716840dfcebd003a2cc1d42,,False,,,95.0,False,,,,,,False
65,refs/heads/master,22861ca8d056a37c09b7c6ec3ba04eab18519b93,19118ea241c574cfe35c06de18dcc1fbbc732fa9,4a9dc7249fe0e5962bee673207be5788f2c326b0,,False,,,6.0,False,,,,,,False
70,refs/heads/master,c193571ecefece13803c950afd384c0085ddad9f,04bc92b071752e691f4e9d34c8dac90e63ba72a6,94e58a449c6f64c37db83e423e0d3409655447eb,,False,,,15.0,False,,,,,,False
