idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/main,94f651dd715270ddf08d0b74ae3dfb8928d6b422,bcb8fdf12c96786c3157c02e1d97224d05e2c581,1eaf8fe1015bd31d5d077b3321a472db30a91670,a parent is the base
2,refs/heads/main,bcb8fdf12c96786c3157c02e1d97224d05e2c581,f4fc865e72aa5a0b9174b8a2effa86efe93387e0,9b6943a03dfe020e9ee3b6a2304cc27c8dae8f05,
3,refs/heads/main,f4fc865e72aa5a0b9174b8a2effa86efe93387e0,59a1a3035a5e3371a5bec31efee090ec9507936c,fdba29c383a485f2cdc3feb665eb319c5c6ac271,a parent is the base
4,refs/heads/main,af79f7d3ebfa4eb319de538e5a7dcbd183766afc,707d40ed7b1707b70a2c5c80111b364bafe6f597,97b2d2fbd9bafa0a0d58655a30c7653c130cfeea,
5,refs/heads/main,707d40ed7b1707b70a2c5c80111b364bafe6f597,37eab65219bd1d98ee588ba00ca47376b612837b,98aa3ca2223f80d34563e545ce9aa854b5ae2efc,
6,refs/heads/main,37eab65219bd1d98ee588ba00ca47376b612837b,cb97b7bc3af822b01676dd65263acd494b1eb851,aa381d3f7492219d76066866fb513d57338b2a67,a parent is the base
7,refs/heads/main,a6b6f286998fe9ecebcecfaf9c65d654df347c09,46cc1e6e2bce0bd5819fb9f1045666e678ec0feb,2c68e7f291d9dc6c49539ff53933fca0b85ec0f1,a parent is the base
8,refs/heads/main,46cc1e6e2bce0bd5819fb9f1045666e678ec0feb,940f484bf0fd29a946a0da6c46b7bc62d5b4beb2,24d160f16d457a770121267820d492c355c03814,
9,refs/heads/main,940f484bf0fd29a946a0da6c46b7bc62d5b4beb2,80428d6151805c8670284ae7fe9688362c008c81,0cccde92a046417891ca8c9127b7ca95a6ac0f47,
10,refs/heads/main,80428d6151805c8670284ae7fe9688362c008c81,c647b960612c12f3d1c51db2f5fd5427f5bef50a,0a399d86d1dffaf5fe8a6db17cc3e30dd302710c,a parent is the base
11,refs/heads/main,6c5bf0baa5090c64e9c6f6165aa471b2e76879ae,e809853c06d1d48f13bcc808b4ff4f63a3fb0203,790952b492186630fbad1fe0acf50c673f452305,a parent is the base
12,refs/heads/main,f2e95ce9108a05985a0e4df61f81cd33ad31e033,9aea9ef0c7ff0c6ab3c3ad9173630b028b0a6b71,1d64f827fd23834f58fc9f2d9accba8378866b3e,a parent is the base
13,refs/heads/main,9aea9ef0c7ff0c6ab3c3ad9173630b028b0a6b71,f574e5504d85cb1630d312437622840cee81a103,cae591d3987518814c18623aff1613df31ec3b18,a parent is the base
14,refs/heads/main,07604c2020519eaa5043e24e43c6fbd75674101b,9a8c3d5277799466a4e5096f5f2edee8c8bdb68b,e5189f20541bbf63fcc2884788394cb73cbcc455,a parent is the base
15,refs/heads/main,9a8c3d5277799466a4e5096f5f2edee8c8bdb68b,32af57014a6aa6082cca169d81e12c8806977d32,dd7a93a6583a64bb229e3a04d82aa8e39da92065,a parent is the base
16,refs/heads/main,5d2b062499ac0d2f1e61c9839e05a1608e792bbf,7281666f1293602caf42037818c6af9ec499a207,739e849c5d65c93a703f8b1105ca69b665143390,a parent is the base
17,refs/heads/main,68c8992eed3ba2d45a2e14f56d1df2352c9e72f6,aba2c5cbb205defd09016e6ff6242db466158ff3,e7ea4b6c1c0a3a7710ea041acc5f24499545d49a,a parent is the base
18,refs/heads/main,67eb66bdb6937f5d9981d4cea279691dd52ea092,ef4bd3044c46d648a892be4d9cf0a24352169396,d2d9a8061dfabe88b2b322dbff3d74959d92f13e,a parent is the base
19,refs/heads/main,df6ffefbfcf5f8b278da518b1815e559e583d912,50f660c5ebf0282ffdf8034b1e74a3909971d8ec,8efbc9570f230e510c18ec41752489498b76b42f,a parent is the base
20,refs/heads/main,f50d6448e51badf3e7b03608d6803b43ae3f6ce7,909aafe4922d3d6cb99c37da0d12044046e003a3,092880066883af5fa3c626f97e7aaea60efdecd3,
21,refs/heads/main,dbff20b0b4ceeda36f6205a8db5ecd6e900a44b7,2654373d0965f087c13d8dff7b7b00cb4f2e7af2,d20baafd8ad4a8f286b6e54ee0d02d65028c90c8,
22,refs/heads/main,8ec690b69f486c476b5c85e58bb537bd1b832e09,094125e5431e280d9543dda5720a960e7d918551,bb513691150476bf91bd9c8194aea2d56d3dcf13,a parent is the base
23,refs/heads/main,094125e5431e280d9543dda5720a960e7d918551,475a0e3423763fe5fd1c8db972bbaf00dc8e667e,7b4b75669e918e8f527f6f05af37145e9b4b42d9,
24,refs/heads/main,b31b9b7d7c0b5b6782047d1efdc5782bcb17fe8a,ca85f8fd6bae2dfb5a1d181d734e2e00b2fe0377,f0cd3d6cb7f2c7188547341e4d40ecbef0d13f24,
25,refs/heads/main,993bed6bbdfbabe8eeaf074777cce94a0051a4b3,f2b26d70abca023cf4a7b51ba0a9deb30ebe3dd0,3f3650bba19512c692e8c62a4a0910e4aa715878,a parent is the base
26,refs/heads/main,f2b26d70abca023cf4a7b51ba0a9deb30ebe3dd0,7cd5ca606e778c51ac7a36b50219de487db88921,8b68493e076f1abc62a773895ab12f32d2986800,a parent is the base
27,refs/heads/main,7cd5ca606e778c51ac7a36b50219de487db88921,1b620b27a281e167cb7e3bb37750a5bc2293221f,ed5cd8de7d6b19ab56fa5dc0d21afc2724141c9c,a parent is the base
28,refs/heads/main,2e91f304b8b57c2331710f73bb959ff8f08c6f6d,2355717b070958eeb6f4108f74a92c34085cd385,a717a5594ac4da5dc019b568b27233ce4b24e01e,
29,refs/heads/main,a717a5594ac4da5dc019b568b27233ce4b24e01e,5a89da9c81665f2091b9df98dfb5a910ece12c7e,fd125b6a266e3c10601a727346ff0a17066905ab,a parent is the base
30,refs/heads/main,5a89da9c81665f2091b9df98dfb5a910ece12c7e,f788eaa9250850777537c1c0151b2d5dd238ddea,f6844ca9b11440a504a32b5d10858f8b34dfb764,a parent is the base
31,refs/heads/main,261b672e3fa0e0db3c2bcd376108a3c5d1f0cbbc,625a58c85b64904241211acd6180a20cb34c5a26,0c05ee4932dfe38c9ef275bbd81dc39a5603fc2b,
32,refs/heads/main,016f86eaa098558ad1beecbafe4153a67cf71805,86550b0c9b15738d3936270156529956ef484efe,ca7d9cb5aa33a968d2e7ad95798bdefbb7801036,
33,refs/heads/main,ca7d9cb5aa33a968d2e7ad95798bdefbb7801036,4256ab57fb8eaccfc5c3048cdfbfd2cc270f024f,7b3265f2e379e0007baa421e9cdd743890a24a0b,a parent is the base
34,refs/heads/main,d4c0022b66cff008527f82ac9f03a2b066266053,83473faa48e98598173a52c284e3e9862619a7ac,0d08bd6bf880c4b15d3a9e3bcd0fa16bbdd49c23,a parent is the base
35,refs/heads/main,bff7d156092c6b25c0c376be534e7c5baf7b6ef4,87ddcbb49c1f703d680f780086b2b3f81fb12746,743c6244d3ada066495640d09d438d4c6fad7988,
36,refs/heads/main,743c6244d3ada066495640d09d438d4c6fad7988,5aba5f1a1ccb025ddd40511a1abf0e89b4c60b6b,ba13c294c4cf859aaf769b45b3b188a83420c9a6,
37,refs/heads/main,77f0ec5fcbf2da76cc42ac45d65b4f068895297e,37a43952cbcf93a967d6e90592ee68d393b33028,20c0f6185a49450a7e5b0c1f339f490e65a62187,
38,refs/remotes/origin/pull/151,47532351464fe3c7ef82414c2dbbdbd8a39bdfd4,25b22482381e67c191715f2aa4b775d0409b39be,008f9a9296979550e733a3d4c1a48bc8e5a70666,
39,refs/remotes/origin/pull/154,f91a553bf0f54e49704766b7f0c17530649de17a,3728f3a6ee19c76b61e034705e44c4bea1bcf584,ab8acfb083e58daf5a62a0e247550fbea51f669e,
40,refs/remotes/origin/pull/191,0a4dd847489a0330058ee2edf630aff1df8149ad,7b0eb419f1e56d0580cad83b71df2860224ab5f5,3669f29ac9b2d80a3827c4d18b293f700bb24706,
41,refs/remotes/origin/pull/22,2e0a0fd99735aaae1c8212baf0adb587a0c45e50,eb7c3973d7db667b813be2ebd39d9ffd83e0ed91,094125e5431e280d9543dda5720a960e7d918551,
42,refs/remotes/origin/pull/52,cb3186a081e7f543317f686541dcad3fef94ce94,0474d21db92f757fc81096936821f9a07b669071,8c3a96acce4a864a1d9a161d9b2c5b40cb0ece4a,
43,refs/remotes/origin/pull/78,ab0a00c3b60159267a91dfa2a70f842f61a5ed86,6b86530f7df4b6b67c40d3787eb63c6041885c7b,83bb6e9a94bc4302a846e1d9a36c72675a66c0f3,
44,refs/remotes/origin/pull/79,eb5c4af1a7890fce1ecc50a5f32437bb5f7ed319,c3991a04c68610f1217d690715f98ab46e5346b2,a04d6077bc45c1f386195cc8fb2d7744497fa840,
45,refs/remotes/origin/pull/80,e932dfa1dc016fe3f27af64f543bf59001849244,94da6230abdecb29980a81eb849abd50544b1b18,1506675b268ff536748c4a094fc040df8b9784f5,
46,refs/remotes/origin/pull/81,a11bb8e9fe056b51f71065124200feb3fd00a4e8,4a75cd82d812a0dafd4c59de455cf271e851a02e,982eb3f0b8d43d055b985a376fa67508ca3ff773,
47,refs/remotes/origin/pull/82,604c6ae5db85db6b94ae7a8c54efe8cde1866309,8b1619cdf0fd6eb6fafb4d429bee2454b5bcbaae,94f651dd715270ddf08d0b74ae3dfb8928d6b422,
