idx,branch_name,merge_commit,parent_1,parent_2,notes
2,refs/heads/master,0338f164bcc061ecdd6ea4bd402cb4d87f2dc81b,54b8b9ab269c661ae3dceb11735a9ed43b13eff7,3f6d9f7a262fcb96a237a1f92b88403608c76f59,
4,refs/heads/master,7c61e1c089a8e67b22f5755ae225c6afc57a4453,fa50f563ee1301fbbd3f58e22236369f2d8f538b,a7cc081207f19136d329fc2a7d45d6a432792db8,
13,refs/heads/master,aff3c8c2e9275d1d524ed1883794e79f11f57e31,64e0ddbff87850aa5439fff8f762220080553e70,32c61beadeff1a4ff00899b7a0792de3e32c4d2f,
15,refs/heads/master,9c89b9f651471cab8b138c45acf99de2d13d009d,659132f2b326fd21aad946bbcf3cf098bde8cbb3,5bd64ea7c06b3e45a41b04e9e230980521fc3b84,
19,refs/heads/master,9dd479841addf836661d8acb523429974d029268,6e062eb16b9f4676749ae1d04e6e554622829666,b5be52ac4da86dfe8511d2eb769d44b86b802fcb,
20,refs/heads/master,6e062eb16b9f4676749ae1d04e6e554622829666,8d9b5f856485cde77c49c4eeff9b43eba323f1d1,9f7b39bdb9cd9e5ad5c29811e763976968d6bebb,
26,refs/heads/master,c66b960c9ca68058138d9e4a469273f8bd817cc0,fc84a412fe6de600c5d778e043ca48461ddc2189,e573fd968011dda3d3a8ae39a1bd5923bea4c19c,
27,refs/heads/master,fc84a412fe6de600c5d778e043ca48461ddc2189,15ef2a41ef767c438e702f40274caead4999b411,7d0795be3de61f4194667d29a8012b932280fe7d,
32,refs/heads/master,2c2576f9e727d4f8b90263c6c4d608c74c896c04,112faa89cf5a199a62d1b8eed7debeb7abac2785,59b5d71173fda829cf5548e1e0c79ff1b6d26a14,
34,refs/heads/master,8a29221353368d4d290973e4d8ebe90325567793,1758fa70e7a74e72c0a4ffad99cf6c7435676173,840c591a5e5cf424f5f1745ec911a79d2cd1185d,
35,refs/heads/master,44f093264e27aae37cfa6c7a23b1727c01ebb4d3,3d6e613a7c05f7d9df4077a57831fe0cff8b4c20,6f69587843993f678291816ceeb18b9b21c39cc1,
38,refs/heads/master,d6e4fda9be04aa7abbdf923dca948806efae4ca1,42e110380548f47c8cff0dae3d5289b57271e678,26aea9eca4eb56fa34c9306f50ca5865cfdaeeab,
41,refs/heads/master,e3dce12a9ad8b6a7703244a5f92cf54ea22b663a,172ee7f2b98f8e4495e0dc91050251788d84bf9d,db633019a0bcd52a308be10c5c96842786504ac5,
66,refs/heads/master,b09245f4cd9a3ac6d4fc4fb341602a30e7f13983,30fc89783391edaadf99bb70214d91761bdbc7c9,5c46f18fca43f06ac3685442dd9602f05013254c,
72,refs/heads/master,210897a17dd67e14aaf095823171f71d8ef55688,049af9a8ada90902e1454f735538ba735050d5eb,e130c2ff738aaf8247cf4eaf0c10dfd8779c9cd6,
74,refs/heads/master,2619e47377f1f331beeb207a29885c6cf11725bf,21ca7419581a57fca98c5fa91f83225fb892190e,da837cd248523731396f2c1b8b1abd17470c589a,
75,refs/heads/master,21ca7419581a57fca98c5fa91f83225fb892190e,2441d37f41b5b1b4226faa38fbc0e4dc5c3c478f,ecb4879d8a079845582ff792afa27479fc228e46,
