idx,branch_name,merge_commit,parent_1,parent_2,notes
8,refs/heads/master,0c3752259ca17669b739481b2785a3e4cea1cc0f,4ecfa5d5213a1be3cdb905b27fbbb955e0e5442c,7a62c6282d2a2ba18f332a5ba96b47cb17df097d,
9,refs/heads/master,4ecfa5d5213a1be3cdb905b27fbbb955e0e5442c,0b982074ddfe4df64dddfe37869453007b9b52f2,a4ee03b5a91ce2190a3ac732689fe5d663d23c34,
11,refs/heads/master,3533bdb86d651102be6d8507ecfff9095093ae87,f2e80f9279ee7c7e38eb80dd765fd60e32ee4511,92ac0ce973e7eccb8138b32d54ecf77dfa27a723,
12,refs/heads/master,92ac0ce973e7eccb8138b32d54ecf77dfa27a723,eacd4688b4876ad2d2ca06c4d6d80f98ba821a5a,4bbe1f4322873b7bbea631ec43706bf19d665195,
15,refs/heads/master,1c444d275fbe11399472f30dd5fe801d4819900a,2b4355634062ba7802d5d3d524e653eac7959912,fb268c604fb8105e9ae365d2299c40e4450ad27f,
16,refs/heads/master,1dca7a06869f07dfa2b871ce3ae4dc29c8916b35,237775a6cd64bcba1381d722671bb2860274dffa,b4424b2db7e82f361f62ad2590b8d5a50a564c3b,
18,refs/heads/master,0ecfd42e2ac627c5a6a031bf5da7e3c42d9d8715,ebae1d94a308115ffe0e7e3a2a321689bf3bdfdf,d3d7e88be775029681a209faf14854da4c6a3162,
36,refs/heads/master,225df7507bb42c58c239294c2b5357ac7cdc6cd8,4f43ed0482cae43b53aac16fcd4d191674ad6b48,e06176989d0e1a777a6a716aac506e6e4131ac27,
37,refs/heads/master,e06176989d0e1a777a6a716aac506e6e4131ac27,0342e65c5ba6e615a489dc7b02470b2838a742b6,2bb37c6a37a903cf9a760a00c8574e07df1e8f5a,
40,refs/heads/master,82d4da233018bd7bcfff6b9c7cddfc133ca6ca66,51d3b70146d64175a790055cb4d5d844298ac6d1,7d0496220cfacbd7c60ac735538a22190bedd52d,
42,refs/heads/master,1bbbab55676ce26a6d480f6ced4aade8ce5dc35e,72617c6e16fcddce10980bb16ddc7a3bb9879e53,f52baa66a8eeed04443ec03e9cb9771d7dbbe103,
