idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
4,refs/heads/master,e99a4dc4d57b353982c4695ef27e796ceec1278f,e1a40f7912d75e429d63fd01f4257b24bb191f2b,f4637590d7b49dc2cf60d6bd04a533d60236c20c,,True,78,0,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,True,0,Tests_passed,e07f8842ad7067520cf628d4e9e147c3a6f9c462701bb2a492e3603c63bde5c5,True,True,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,547ddc65538f63ba11a8006e079c9de9487053f39d3d87ac6d17358749651643,Merge_failed,a9505f9557406dc513b27c1c42fb7884e4abed2df30f6968774fe7c3fc15c811
5,refs/heads/master,e1a40f7912d75e429d63fd01f4257b24bb191f2b,2a14c37596e4186d12964183e59acb7d025b4909,330b00a60d2a831019fbda92a69d56b47e9aa5ba,,True,41,0,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,True,0,Tests_passed,e84208f0cc0ae78a28ef66b652a63a05feca1d976dc6d91effb9e3c478e6a58e,True,True,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Tests_passed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762,Merge_failed,b90894a54016b08debfca457bba44f936e61f62ca5f7bdc1850d880c5bd12762
6,refs/heads/master,2a14c37596e4186d12964183e59acb7d025b4909,3dc7f61d518af950c76f40721af5a7e0b0e54bfa,b331c78fa34eec1659521ddfd3e209b10ca1b39c,,True,49,0,Tests_passed,57715896724bae14c0c15e9d6beb12695136ef9ede9bdc96cdf74ba1b844223e,True,0,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,True,True,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Tests_passed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e,Merge_failed,51bc337c50eca79a21f1c46f9b8c4253366960b0167e65fad087cca8dc3e949e
7,refs/heads/master,b331c78fa34eec1659521ddfd3e209b10ca1b39c,45609005f54e82e0eb1466bc02b68695c6f620b0,114fd2196ec45bb63d40e2b6391c1162d96acbc1,,True,51,0,Tests_passed,171cb4cff462dfe6b898184feac7d1e7ce636ff58972661aad79dd97a084d083,True,0,Tests_passed,b894f74dbbed28b4041ebc2449aa033e6a74f99c180b8bad1a6eaa6121eaef5b,True,True,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Tests_passed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35,Merge_failed,938da04bec4c0763154663a56d9fe54a39c956c9962ebf8a5605eb9e9beeea35
16,refs/heads/master,dbea494a5dd52280116649807e5c31ac7438e467,9a0d67eb00bc6e3f10fc54634af279516f5c8866,f4949b28eea4de7a38c53535680bfadd2f8f6f26,,True,29,0,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,True,0,Tests_passed,2f2c12e67256047da71ce79e0cd9aeea44fc33de75899221b27d9aee710f274f,True,True,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Tests_passed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473,Merge_failed,626991c2a8c0d1fa3c8f47ccd5fba912f089ea0d1f4eca2ddf6c67aa55f71473
17,refs/heads/master,9a0d67eb00bc6e3f10fc54634af279516f5c8866,4711c462e6c56f1626aee1e154846dcda2452467,5d63a1e736eb61637d2f4c461dc7dc19e2fe78bb,,True,117,0,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,True,0,Tests_passed,57a6ef93913d164678db75401d0d9c648d7020f7755da28ec12737058dc3c0bd,True,True,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Tests_passed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4,Merge_failed,d8d602f99a131ef2c251a6697e614da9ddf591cbce909886e9644067314055d4
18,refs/heads/master,4711c462e6c56f1626aee1e154846dcda2452467,3406358989f1d5468181141fcbb7ed95d5b7195e,4395fe667760f872506ebde87c9d17d1b041c27f,,True,26,0,Tests_passed,16852587848bb5c1146745b2cd606d0db55250442abeb884030d01599e4dbe6b,True,0,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,True,True,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Tests_passed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42,Merge_failed,bef26b36d3f41614bc6101426d72b49d3f636f59fd2bf968313e34092f1edd42
21,refs/heads/master,4395fe667760f872506ebde87c9d17d1b041c27f,86701f3e91a120af545751d0ea979f9ed91e53eb,c35c8b087f53ce064a50384f1a89a8b9aa044abd,,True,11,0,Tests_passed,11c1c6593129d59cc1aad45c3a3a4f1930c38b88f79826b592c737808a929291,True,0,Tests_passed,b6dd58be2a4e9359d10e9cb184159dd8ad47abf47c4ebe80185af50b2ffc0c72,True,True,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Tests_passed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07,Merge_failed,3b93e0bab51b986dba9ca60f233ae2cce9b10fa3025dbbf6abf535e81d1c3a07
25,refs/heads/master,0fffc07d4a825399e5b7090bafa4007f21ceef88,2070fe94b619ffd972f24ac23e9021768162c5fb,582e65f57c0377ecaca4dfb9b1968c8d8afce074,,True,147,0,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,True,0,Tests_passed,e5bf1005b5f71b72cc32d5714af71024ed7ff2309d1d83990e79e980f0471104,True,True,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Tests_passed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479,Merge_failed,7847e05422ab155c487a8dc133fe6341ff61d69eb2d8d50009b93faeebc25479
26,refs/heads/master,2070fe94b619ffd972f24ac23e9021768162c5fb,edbcc281e23dbfb2aed710f2375a6c6e97c5b543,783a5e19a88b46c849ea137554ed57b8c9ea3a53,,True,16,0,Tests_passed,0cc3984619146e6a94de6b15fb86f773ddaddbb71fb7f5db95dcebd2680ce20a,True,0,Tests_passed,7824c0b0c9acde4ce627764123296053378df889bae05448c171630873f5787e,True,True,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455,Tests_passed,f808f86b340b315b2560b3b7836f5ba0221422beb1c85ae0e775b5a4b7f477d7,Merge_failed,426c703029bf95b04a8269f0f3c665bf0941c418e2599617a2ff76d2b96e8455
