idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
80,refs/heads/master,e00d102c471a4150da186b30d36c468d2bd72b60,8408b97771f519253c2ecc9f26349d2a958564b3,e104803781270b91c964a2cc17dbaeb1e11e35ea,,True,True,303d1ff9a7aa2322b787cd2857769b550800fd4076d3ec2ccf0777038f3f12fe,Tests_passed,08c6109b0f2a509e68299ca15d2d567e00a98e236bd3cfd78033c6e534e53c7c,Tests_passed,True,True,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,976e40c8fcc60f66ac9360432c8d5231253ff4f15be942631a00c6ecab188a03,Tests_passed,976e40c8fcc60f66ac9360432c8d5231253ff4f15be942631a00c6ecab188a03,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,11c83a4fe7e7adc4584c03421cfbafeca916eaa9012996eb26be21c5d1de402d,Tests_passed,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09
1282,refs/heads/master,8836644d3773125db40e1e2c2af3adc3838dd6a0,e00d102c471a4150da186b30d36c468d2bd72b60,c07e30b8cf487282680f33693fc77cda917272ab,,True,True,45b1805c7619aff977755f66c99528ba75663f473018f5bf6cf5013cdf2b3b09,Tests_passed,6fe60368d048496904b7ecaba5cd9fd57966cc8c9d209dd2bdbdd6e07cff2891,Tests_passed,True,True,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,0614f679117f55c4e05abdf2ac132b11d20006db87ab9d96d4340a315f45be9f,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,0614f679117f55c4e05abdf2ac132b11d20006db87ab9d96d4340a315f45be9f,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,64ba96322df846da335928d3ccddf7fbd25bc883d54fa6e04654812b1b1975ec,Tests_passed,64ba96322df846da335928d3ccddf7fbd25bc883d54fa6e04654812b1b1975ec,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb,Tests_passed,75cb7532bbbd4715c00faa7f547caa3c9f75a617fb54649ab02c8a68c2bcde5c,Tests_passed,4ece3eb98b03cbb2aa04c94f283c9d3fd130ff91806e2e4d6722cdd5c39873fb
2018,refs/remotes/origin/3.0.0,02f30a27f9cf8368098d39ddce2c1607a989d1b5,f32dd6f7bc4b8ca43bd3969290c709006d73cdb8,5b4e8a8ed5f36b566fe71be1b5e01918f3397d0c,,True,True,f507999218efa981df5bbe9bcf6ea0d6f1eca9dd6cd33c871e4bedc5d46e88c4,Tests_passed,7c4d4e470a9d6ba2a2af2a1db3c629758e105b794997e3c6134541446c3767e3,Tests_passed,True,True,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649,Tests_passed,ada9194638fc1bf9d957b3cf6299097562bfb2101d74c661a236985207d6f083,Tests_passed,5133853d2652d3ef4db86eced88480ad83d2877da1492ee80cea0e46c086a649
2112,refs/remotes/origin/3.0.0,651a3e388b80901005a7effd61e10b7a3f05bc91,fdbd13b3680dd277711be686978ea3efb81afc31,8314f4e78a481554eb3cf1acfdcaa634b6661916,,True,True,0451275c6bbfa8602511a19b1b99a77d4635d9a416e55b8172b0b70de49bffd4,Tests_passed,d09789beee516ffb5e9ceaaebce376a7228422bbb13c0d13c1a7b7858882e56b,Tests_passed,True,True,Merge_failed,30cd23e8c89aa64ec89453300babe8bdb27c6515401de1ff6bb6a8dd034b3258,Merge_failed,678c5d1d8a4c0da9baaa078fe31031b953a98951896bf7bf8e13a151aa5f4085,Merge_failed,30cd23e8c89aa64ec89453300babe8bdb27c6515401de1ff6bb6a8dd034b3258,Merge_failed,142900fb2f6b058e879970f3217165b4a7945d730d1a64a367a075882d2585ca,Merge_failed,120d867c7bcfbcd3efbe89498038d9b7125a531b3666a97f4d17223814b5f207,Merge_failed,120d867c7bcfbcd3efbe89498038d9b7125a531b3666a97f4d17223814b5f207,Merge_failed,120d867c7bcfbcd3efbe89498038d9b7125a531b3666a97f4d17223814b5f207,Merge_failed,85abd0ff5bd8f8171d50d39d461d1e99c50feaf25a41a566402e6cff786bd24c,Merge_failed,13af02595de08a4e94f9f58953fe6a7e153cf9765362e19802bd1afaf033db44,Merge_failed,9afefc0206d21679a78839998079ab06c995f2abc93b3b4d56a7ffa439552b90,Merge_failed,678c5d1d8a4c0da9baaa078fe31031b953a98951896bf7bf8e13a151aa5f4085,Merge_failed,141b26b57e594589c26e251ff974a2a12ee3b7ff4c2b9b3a0adff87978f69ce2,Merge_failed,4bf874d5a22e764f1e3fdff347e236578ffcda5de5e3fdb4e53d393c1424e5ae,Merge_failed,13af02595de08a4e94f9f58953fe6a7e153cf9765362e19802bd1afaf033db44
2278,refs/remotes/origin/3.0.0,45ff39c237eebc62d35201d9e3eeee8a6716883e,cfd9d7e4c6875dc3103fa48402b022adac61e037,9b68f02f83cf653ea4d8c0758d439f1598fdb553,,True,True,07abc9aca6f61dd2241ea8a3224b5df722f7f7bd3e5fafd595335fbb2dbc7a60,Tests_passed,c145e22138b0b5d202ab75c57db770ea6cc54c9add431c1f7268e6b4d585fe9a,Tests_passed,True,True,Merge_failed,f07934b83f68d75cb596b43d8fbb3d0307dc061a7eab026726c96ec4c5633638,Merge_failed,551c83fd585844820705d3fc977aecc1c0d77b96efe3d2fbf838670d1ddc5ee1,Merge_failed,cfbb71974740f6d621752288e0a39c3a28190a7dd7e4b0f59107cdba6a6c0f7b,Merge_failed,2d1486952dcb445c1abdd73c91f8aa227166b402a2d4ff448f49c0feb9762183,Merge_failed,464fe5149e231bda9b706a785ec12cce64f262fb0d19edc61d2d17f0f790db58,Merge_failed,464fe5149e231bda9b706a785ec12cce64f262fb0d19edc61d2d17f0f790db58,Merge_failed,2d1690c0b36d8b66f757bc2f8011cd027cb86c76977f965251be3fc36eb703b0,Merge_failed,65b453a0367279b91496d981e4b70643d8e6e2506e0a66225c238099c315f76f,Merge_failed,944c03b9545d126736b6f2485973a3cd0639295aade8f0fc46e0cde83df1b620,Merge_failed,f07934b83f68d75cb596b43d8fbb3d0307dc061a7eab026726c96ec4c5633638,Merge_failed,551c83fd585844820705d3fc977aecc1c0d77b96efe3d2fbf838670d1ddc5ee1,Merge_failed,bac3055a7867238677e2a2463eaa4c6fcb5d8aa8f558342de57d269ed0702aee,Merge_failed,6344165512e2ecce3baa8ecc958fab3a7b538fa356d0b808184fe2473f9bf397,Merge_failed,313bd45bdcfaad4646f8842453100dfb9802eea2a315bc8abf5a139eed45ffcf
3113,refs/remotes/origin/SWG-7517-utilizing-updated-resolving-of-swagger-parser-v3,11d9cbd5975bf6c6b67253a84fa94dbb2f597ea2,c47d5cc70437b476d1ca2fc129936a90bf002839,049b1b2bcc904e1179a0e9b11124ed8fa0e3be2e,,True,True,3880b524dc944d98cecfc1d85ab829451b227f016b507dcdc812b4ac9681ce1c,Tests_passed,91f877a8efd8f3e09dace5c4aa161f9051ea7230ab4b3cc281a763af50749502,Tests_passed,True,True,Merge_failed,c1c48f1e83d19a747cfcf166cddbba8f94800efb4f5425ed71cd94e704acfa1b,Merge_failed,1c29ef0d279e86fe09d9b064e1986d82cdfd0eead5ed6080da6c051da34746c7,Merge_failed,c1c48f1e83d19a747cfcf166cddbba8f94800efb4f5425ed71cd94e704acfa1b,Merge_failed,1c29ef0d279e86fe09d9b064e1986d82cdfd0eead5ed6080da6c051da34746c7,Merge_failed,c1c48f1e83d19a747cfcf166cddbba8f94800efb4f5425ed71cd94e704acfa1b,Merge_failed,c1c48f1e83d19a747cfcf166cddbba8f94800efb4f5425ed71cd94e704acfa1b,Merge_failed,c1c48f1e83d19a747cfcf166cddbba8f94800efb4f5425ed71cd94e704acfa1b,Merge_failed,ebbe1e45b084fd048ed8ba67f920d770b5f04d6a919df373714ca67f70977e6f,Merge_failed,4ba68c9f381eebdfa77e7f1fa8c7d0cf2b9b62e1c0fae9e752cdc0c3bb838438,Merge_failed,c1c48f1e83d19a747cfcf166cddbba8f94800efb4f5425ed71cd94e704acfa1b,Merge_failed,1c29ef0d279e86fe09d9b064e1986d82cdfd0eead5ed6080da6c051da34746c7,Merge_failed,4485aaa0a9848011cbd6798062219096993e0cc330119dfc48385928cbec3f56,Merge_failed,da1a0bc9bb50779f94310a709000b06b3821e3a3b3fa67f1452a9f084086b6d1,Merge_failed,4ba68c9f381eebdfa77e7f1fa8c7d0cf2b9b62e1c0fae9e752cdc0c3bb838438
3251,refs/remotes/origin/bump-snap-3.0.39-SNAPSHOT,994a77573de2c16912c2018797658ddb10a3f2c8,cf4e01e4dd55c260d67c24039f1ea1f1c7cf0b8f,ad1bb22661b4f88417c9cb7361085116780c9719,,True,True,3beb46ef9d2953c41e37711100ba05287eb98f7caa450eab9f0035144d582102,Tests_passed,6b110b552dad28b8b877078ec83264ba9b8f764d55f4af246888ad6714150800,Tests_passed,True,True,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,56910ace50d9e4a3a8600eb710e3eeb50144450d1de81923161c4b0ac6e354e1,Tests_passed,0d9689c3634608682d4e87ae831fa7a65e3df8c70a13fb2eaeacf0922f8ce926,Tests_passed,f9fd3334b764415d8b7696903ca408817000b84d17b38e8e581f670448c7e124
3406,refs/remotes/origin/fix-gh,60a9ac3fffe37f0ef11f92979a8eaf68334263c4,358e5a45b93240a80a6e0f65eeffdaad29d9f088,5ff87d43f1c6b474bed1e1673671e4b39ee36fa4,,True,True,1898f3880e6f480048852e7389c1aa336bcd5becd3320f0632ae38c2a4dee0f1,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,True,True,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_passed,f49dcb6ebaf4731123eed24227c892caa259d302597ba1438b1c00fdae418bf0,Tests_failed,56ad9e249d64dc838a793e6065ce4113e7132c71f07d9b7349500093106a5737
4005,refs/remotes/origin/pull/2059,71c496e2102ef301d1febb77fd6986e5cb70e0b6,9e50dfe4db8c08b714b26286d7ffb1afd7533fdb,248be5e75aac40c8b412b222bbb546021e1c2ab3,,True,True,c86093eedc0a66d040746fabeb3eaba3a86faa959707e5fb744596748b101d32,Tests_passed,0014cd8c033f647ca436b045e6b9d49538cc89489ab3f5046cf5453951aeb976,Tests_passed,True,True,Merge_failed,69874cfbdf1cd0f13a028cb79bedc41baf9cd0265ea6e8951661aa69f5f3a13f,Merge_failed,c6b96e1329785ad6c4429713aa11c6c8abeae05ce1ab4fc0ccd627a5214792e8,Merge_failed,69874cfbdf1cd0f13a028cb79bedc41baf9cd0265ea6e8951661aa69f5f3a13f,Merge_failed,c6b96e1329785ad6c4429713aa11c6c8abeae05ce1ab4fc0ccd627a5214792e8,Merge_failed,69874cfbdf1cd0f13a028cb79bedc41baf9cd0265ea6e8951661aa69f5f3a13f,Merge_failed,69874cfbdf1cd0f13a028cb79bedc41baf9cd0265ea6e8951661aa69f5f3a13f,Merge_failed,69874cfbdf1cd0f13a028cb79bedc41baf9cd0265ea6e8951661aa69f5f3a13f,Merge_failed,644dd871c3bfc8ac29aa97f65bb240e4ab4c95b1d72f386647a9c0df87e30108,Merge_failed,443e523d4ee3b65ded7d88df8c8e40604202fa8cee373b2fc5a7787237f61bf2,Merge_failed,69874cfbdf1cd0f13a028cb79bedc41baf9cd0265ea6e8951661aa69f5f3a13f,Merge_failed,c6b96e1329785ad6c4429713aa11c6c8abeae05ce1ab4fc0ccd627a5214792e8,Merge_failed,5e3063dc6983c06353ea4d83ef8b52d72378a213325d49d2c78dc424f55c9d02,Merge_failed,09518d85fd78fc02201c498acb28574b34eb691c72de2f176e669cb6af401263,Merge_failed,c86b1c44344f4414ad81d9f6fde1afffd5909361a1084fa3b483630670eb36e2
4084,refs/remotes/origin/pull/2059,e7ec952ce2d389bdb8a86ee4ad284ad7d3f7685e,66597d29445a8d39c9cc6cf343e12dabacf6dc80,d6e587afdb08ffd70a882eacc54d924403c22592,,True,True,6b6208cd83690adc0f784110a29875cbf9cfc6e3f1a5c6679ed6a1ab38dd53a0,Tests_passed,297b5a08dbad4fdec176694830148214488fec4d46bc2e6f3a7fbe6952388afe,Tests_passed,True,True,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930,Tests_passed,3d17aeacd3ef480ec90afd047ed2b81e815aedb5d88dab5e276ea758969e914f,Tests_passed,4cc6cfce6c6702f1774208c2c7af0e8da73cc5c7f27d11e4c6744a08b63e3930
