idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
3,refs/heads/master,2e4123a57eee83f49efa6dad95c3af9b3a47cee4,6fd207f111c8d9b441e0f42c0d17a64c8dd7b06f,1699ee94ebb6dce61840e18a5e04f7de7555710f,,True,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/6fd207f111c8d9b441e0f42c0d17a64c8dd7b06f_1699ee94ebb6dce61840e18a5e04f7de7555710f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/6fd207f111c8d9b441e0f42c0d17a64c8dd7b06f_1699ee94ebb6dce61840e18a5e04f7de7555710f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/6fd207f111c8d9b441e0f42c0d17a64c8dd7b06f_1699ee94ebb6dce61840e18a5e04f7de7555710f_left_right.log'}",True,Tests_failed,ead3c66bc38a61cf3fa1d5d0e1c32387b08abd3eb2fccd2da5c4a5747d797e11,True,25,574,False,Tests_failed,cbcc8d6845599e176d494960914dce4effad2dec97790a92064e4cfb6f349ae0,False,False
4,refs/heads/master,6fd207f111c8d9b441e0f42c0d17a64c8dd7b06f,bf06cb3bee439026fd5b7c409a624629a7465f66,6dd8d6fcfdfe2dc6b14fc25a0f196d44fbdd5bb7,,False,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/bf06cb3bee439026fd5b7c409a624629a7465f66_6dd8d6fcfdfe2dc6b14fc25a0f196d44fbdd5bb7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/bf06cb3bee439026fd5b7c409a624629a7465f66_6dd8d6fcfdfe2dc6b14fc25a0f196d44fbdd5bb7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/bf06cb3bee439026fd5b7c409a624629a7465f66_6dd8d6fcfdfe2dc6b14fc25a0f196d44fbdd5bb7_left_right.log'}",True,,,True,24,444,,,,False,False
5,refs/heads/master,bf06cb3bee439026fd5b7c409a624629a7465f66,30c3f0fde164c8b6f0b0e4991faa6bbbd33bd1ee,3b3f8ab8361ae14a8e132df611f5f0c06d44edf0,,False,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/30c3f0fde164c8b6f0b0e4991faa6bbbd33bd1ee_3b3f8ab8361ae14a8e132df611f5f0c06d44edf0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/30c3f0fde164c8b6f0b0e4991faa6bbbd33bd1ee_3b3f8ab8361ae14a8e132df611f5f0c06d44edf0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/30c3f0fde164c8b6f0b0e4991faa6bbbd33bd1ee_3b3f8ab8361ae14a8e132df611f5f0c06d44edf0_left_right.log'}",True,,,True,23,442,,,,False,False
6,refs/heads/master,30c3f0fde164c8b6f0b0e4991faa6bbbd33bd1ee,1e61731653f4f020bdf90d277c6ecffeb51e2b0b,671c36da324f35be9b376bf1ceaa0445d77be1a8,,True,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/1e61731653f4f020bdf90d277c6ecffeb51e2b0b_671c36da324f35be9b376bf1ceaa0445d77be1a8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/1e61731653f4f020bdf90d277c6ecffeb51e2b0b_671c36da324f35be9b376bf1ceaa0445d77be1a8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/1e61731653f4f020bdf90d277c6ecffeb51e2b0b_671c36da324f35be9b376bf1ceaa0445d77be1a8_left_right.log'}",True,Tests_failed,492b140d56e469820adc06e7d02d698308c1953400e0a8e1611e9d9507615681,True,22,428,False,Tests_passed,2ae06ee24ac6a807c2794bdc683a830f35083023c13ca27b9123aa8b0de37130,False,False
7,refs/heads/master,1e61731653f4f020bdf90d277c6ecffeb51e2b0b,6a1618ba07a66309f2b5287e4c812dc10d1970b0,de9dfa0105083b4d606eb9485be68b005be5af0d,,True,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/6a1618ba07a66309f2b5287e4c812dc10d1970b0_de9dfa0105083b4d606eb9485be68b005be5af0d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/6a1618ba07a66309f2b5287e4c812dc10d1970b0_de9dfa0105083b4d606eb9485be68b005be5af0d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/6a1618ba07a66309f2b5287e4c812dc10d1970b0_de9dfa0105083b4d606eb9485be68b005be5af0d_left_right.log'}",True,Tests_passed,47863b4e0b77e8d28f87cd6f3d3e7ee97657597b28e5502cab57eb3a76c0c52c,True,21,403,True,Tests_passed,34b5c80655e7e441710f45e4a266cf58cfdff0c77f0d16760cd8a81c123c62c9,True,True
8,refs/heads/master,6a1618ba07a66309f2b5287e4c812dc10d1970b0,c6c1fb810d36710abd531cf56a9e0bee5a689df0,4dd5f332c20d1eec11d6174d7e60d120ffe5af82,,True,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/c6c1fb810d36710abd531cf56a9e0bee5a689df0_4dd5f332c20d1eec11d6174d7e60d120ffe5af82_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/c6c1fb810d36710abd531cf56a9e0bee5a689df0_4dd5f332c20d1eec11d6174d7e60d120ffe5af82_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/c6c1fb810d36710abd531cf56a9e0bee5a689df0_4dd5f332c20d1eec11d6174d7e60d120ffe5af82_left_right.log'}",True,Tests_passed,9653f54a72fd17a28cd4a3eefe0768f3349086581e37cdaeb3be50fbd7f91839,True,19,362,True,Tests_passed,5342f14f16d3b575044176a7523a1aa0a69d35e131e7628af4ec96533952b82c,True,True
9,refs/heads/master,c6c1fb810d36710abd531cf56a9e0bee5a689df0,4a41e8336d50543d3a6d9d8a269c7890cd571465,c929469dcc4917fd900093564e8f8fe1728fdaa6,,True,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/4a41e8336d50543d3a6d9d8a269c7890cd571465_c929469dcc4917fd900093564e8f8fe1728fdaa6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/4a41e8336d50543d3a6d9d8a269c7890cd571465_c929469dcc4917fd900093564e8f8fe1728fdaa6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/4a41e8336d50543d3a6d9d8a269c7890cd571465_c929469dcc4917fd900093564e8f8fe1728fdaa6_left_right.log'}",True,Tests_passed,7cfff0e36e063155bd937c4d86f90d04ca7c4500acf79bac1240196dd69046db,True,11,196,True,Tests_passed,ffb464c8e7652106e6bd69fed7a9791161b848fab069394f12726712062dd508,True,True
10,refs/heads/master,4a41e8336d50543d3a6d9d8a269c7890cd571465,671ce3b8e0db6b427e7001d60b4bc6f12cc41860,6dbc2f23cc03f8896ce91e4059be35cd49e66c2a,,True,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/671ce3b8e0db6b427e7001d60b4bc6f12cc41860_6dbc2f23cc03f8896ce91e4059be35cd49e66c2a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/671ce3b8e0db6b427e7001d60b4bc6f12cc41860_6dbc2f23cc03f8896ce91e4059be35cd49e66c2a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/671ce3b8e0db6b427e7001d60b4bc6f12cc41860_6dbc2f23cc03f8896ce91e4059be35cd49e66c2a_left_right.log'}",True,Tests_passed,15357a7d990f144ae4ebc3c0a5607b3e090e50a70c4268d2e41fa565c9e697b0,True,12,189,True,Tests_passed,e3544074c049fd236a3d55afad965830afa14dcb1e5ca4cd1d76769b1dc276e5,True,True
14,refs/heads/master,5060afbf1d71ecd4960f9f613316ae046aa27faf,87ef7b819f167430fd0d197daa8701b218d2fcc6,bffcdc3e6d8aa158462ef4fbf6ea761fd364ad74,,True,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/87ef7b819f167430fd0d197daa8701b218d2fcc6_bffcdc3e6d8aa158462ef4fbf6ea761fd364ad74_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/87ef7b819f167430fd0d197daa8701b218d2fcc6_bffcdc3e6d8aa158462ef4fbf6ea761fd364ad74_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/87ef7b819f167430fd0d197daa8701b218d2fcc6_bffcdc3e6d8aa158462ef4fbf6ea761fd364ad74_left_right.log'}",True,Tests_passed,b51cc28544aad50db5540c50c3f54afa92feadd852b3817f81e0206dc9a927d2,True,25,2376,True,Tests_passed,5af3f714edc591d64a0e74e04e1a395fedc98e4078691a8d2c7dfbd7cc7710d7,True,True
15,refs/heads/master,87ef7b819f167430fd0d197daa8701b218d2fcc6,1f07892304d9f98bfd1e67be563fcb0abf7bb7d4,71dd510666ba4c68cbff9aa70f5d451a1e7ee590,,False,"{'base_left': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/1f07892304d9f98bfd1e67be563fcb0abf7bb7d4_71dd510666ba4c68cbff9aa70f5d451a1e7ee590_base_left.log', 'base_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/1f07892304d9f98bfd1e67be563fcb0abf7bb7d4_71dd510666ba4c68cbff9aa70f5d451a1e7ee590_base_right.log', 'left_right': 'cache/diff_analyzer/logs/kongchen/swagger-maven-plugin/1f07892304d9f98bfd1e67be563fcb0abf7bb7d4_71dd510666ba4c68cbff9aa70f5d451a1e7ee590_left_right.log'}",True,,,True,11,2330,,,,False,False
